Title,Year,Directors
MAA,1952,BIMAL ROY
MAA-O-CHHELE,1954,GUNAMAYA BANNERJEE
MAABHOOMI,1979,GAUTAM GHOSE
MAAVOORI MONAGALLU,1972,VIJAY
MADARI,1959,BABUBHAI MISTRY
MADE IN INDIA,1942,EZRA MIR & SHIRAZ FARUKHI
MADHUMATI,1958,BIMAL ROY
MADINE KI GALIYA,1979,MERAJ ANSARI
"MADRAS GUARDS, THE",1942,WILLIAM J. MOYLAN
MADURAIYAI MEETTA SUNDARA PANDIAN,1977,M.G. RAMACHANDRAN
MAGIC-MAGIC,2002,JOSE
MAGUNIRA SHAGADA,2002,PRAFULLA MOHANTY
MAHAANADHI,1993,SANTHANA BHARATI
MAHABALIPURAM,1952,JAGAT MURARI
MAHABHARAT,1975,BABUBHAI MISTRY
MAHADIYA MANE,1970,C.V. SIVASHANKAR
MAHAKAVI KALIDASA,1955,K.R. SEETARAMA SASTRY
MAHAMANTRI TIMMARASU,1962,K. KAMESHWARA RAO
MAHANANDA,1984,K.G. KOREGAONKAR
MAHANANDA,1984,MOHAN KAVIA
MAHANE-MAHANE,2002,THAMARAI SENTHUR PANDY
MAHARANI YESUBAI,1954,BHALJI PENDHARKAR
MAHATMA,1953,DATTA DHARMADHIKARI
MAHATMA PHULE,1954,P.K. ATRE
MAHATMA-LIFE OF GANDHI 1869-1948,1949,VITHALBHAI JHAVERI
MAHATMA-LIFE OF GANDHI 1869-1948.P1,1949,VITHALBHAI JHAVERI
MAHATMA-LIFE OF GANDHI 1869-1948.P2,1968,VITHALBHAI JHAVERI
MAIKHANA,1967,KIDAR SHARMA
MAIN NASHE MEIN HOON,1959,NARESH SAIGAL
MAIN SHAADI KARNE CHALA,1962,ROOP K. SHOREY
MAIN ZINDA HOON,1988,SUDHIR MISHRA
MAINZ RAAT,1964,SHYAM & JAGIRAM PAUL
MAJHI PAHACHA,1987,MANMOHAN MAHAPATRA
MAK ARU MORAM,1957,NIP BARUA
MAKDEE,2002,VISHAL BHARADWAJ
MALAI ITTA MANGAI,1958,G.R. NATHAN
MALAIKALLAN,1954,S.M.S. NAIDU
MALAJANHA,1965,NITAI PALIT
MALAMUKALILE DAIVAM,1983,P.V. MENON
MALANA / IN SEARCH OF,1997,VIVEK MOHAN
MALAPILLA,1938,GUDAVALLI RAMABRAHMAM
MALAVPATI MUNJ,1976,RAVINDRA DAVE
MALAYADAAN,1971,AJOY KAR
MALHAR,1951,HARISH
MALKIN,1953,O.P. DUTTA
MALLI,1998,SANTOSH SIVAN
MALLI PELLI,1939,Y.V. RAO
MALLIKA SARABHAI,2000,ARUNA RAJE PATIL
MAMAN MAGAL,1955,R.S. MANI
MAMMO,1995,SHYAM BENEGAL
MAMTA,1973,NALIN DUARA
MAN IN SEARCH OF MAN,1974,PREM VAIDYA
MAN KI JEET,1944,W.Z. AHMED
MANADESAM,1949,L.V. PRASAD
MANAPPANDANAL,1961,V.N. REDDY
MANASA SAROVARA,1982,PUTTANA KANAGAL
MANASAROVAR,2003,ANUP KURIAN
MANCHALA,1953,JAYANT DESAI
MANDA MEYER UPAKHYAN / A TALE OF A NAUGHTY GIRL,2002,BUDDHADEB DASGUPTA
MANDARA PHU,1993,S.R. RAJAN BOPAIAH / DOLLY
MANDI,1983,SHYAM BENEGAL
MANE,1990,GIRISH KASARAVALLI
MANGALA,1950,S.S. VASAN
MANGALA GAURI,1953,T.R. SUNDARAM
MANGALFERA,1949,RATIBHAI PUNETAR
MANGAMMA,1997,T.V. CHANDRAN
MANGAMMA SAPATHAM,1943,T.G. RAGHAVACHARYA
MANGAYAR THILAKAM,1956,L.V. PRASAD
MANI OSAI,1963,P. MADHAVAN
MANICHITRA THAZHU,1993,FAZIL
MANIK RAITONG,1984,ARDHENDU BHATTACHARYA
MANIMUZHAKKUM,1976,P.A. BACKER
MANINI,1961,ANANT MANE
MANIRAM DEWAN,1963,S. CHAKRABORTY
MANJHLI DIDI,1969,HRISHIKESH MUKHERJEE
MANJIL VIRINJA POOKKAL,1980,FAZIL
MANNINAMAGA,1968,GEETHAPRIYA
MANNINTE MARIL,1979,P.A. BACKER
MANNU,1978,K.G. GEORGE
MANONMANI,1942,T.R. SUNDARAM
MANOOS,1939,V. SHANTARAM
MANSALA PANKH ASTAAT,1961,MADHAV SHINDE
MANTHAN,1976,SHYAM BENEGAL
MANTHIRI KUMARI,1950,ELIS R. DUNCAN & T.R.SUNDARAM
MANTHRAVADI,1956,P. SUBRAMANYAM
MANTRA SHAKTI,1954,CHITTA BOSE
MANU UNCLE,1988,DENNIS JOSEPH
MANVI NI BHAVAI,1993,UPENDRA TRIVEDI
MANZIL,1960,MANDI BURMAN
MARAGATHAM,1959,S.M.S. NAIDU
MARAM,1972,YUSUF ALI KACHHERI
MARANER PAREY,1954,SATISH DASGUPTA
MARATTAM,1988,G. ARAVINDAN
MARD MARATHA,1951,KESHAVRAO TALPADE
MARHI DA DEEVA,1989,SURINDER SINGH
MARMAYOGI,1951,K. RAMNOTH
MARO CHARITHRA,1978,K. BALCHANDER
MARTHAND VARMA,1931,P.V. RAO
MARUTIRTHA HINGLAJ,1959,BIKASH ROY
MARYADA,1971,ARAVIND SEN
MASOOM,1982,SHEKHAR KAPOOR
MASOOM,1960,SATYEN BOSE
MATAMGI MANIPUR,1972,DEB KUMAR BOSE
"MATCH FOR YOU, A",1942,EZRA MIR
MATHILUKAL,1989,ADOOR GOPALAKRISHNAN
MATHRU BHOOMI,1969,M.S. GOPINATH
MATI MANAS,1984,MANI KAUL
MATIR MANISHA,1966,MRINAL SEN
MATIRGHAR,1944,HARI BHANJA
MATTILO MANIKYAM,1971,B.V. PRASAD
MATWALI MEERA / MEERABAI,1940,PRAFULLA ROY & K. SHARMA
MAUJ,1943,B. BHATT & B. MISTRI
MAUSAM,1975,GULZAR
MAYA,1972,RAMU KARIAT
MAYA BAZAR,1984,BABUBHAI MISTRY
MAYA DARPAN,1972,KUMAR SHAHANI
MAYA KA JAL,1937,TULSI LAHIRI
MAYA MAHAL,1963,CHANDRAKANT
MAYA MEMSAAB,1992,KETAN MEHTA
MAYA MIRIGA,1985,NIRAD MOHAPATRA
MAYA MRIGA,1960,CHITTA BOSE
MAYAR SANSAR,1962,KANAK MUKHERJEE
MAYURI,1985,SINGEETHAM SRINIVAS RAO
MAZHA / THE RAIN,2000,LENIN RAJENDRAN
MAZHE BAL,1943,MASTER VINAYAK
MEE DARU SODLI,1950,BHALJI PENDHARKAR
MEE TULAS TUZYA ANGANI,1955,DATTA DHARMADHIKARI
MEENAMASATHILE SOORYAN,1987,LENIN RAJENDRAN
MEERA,1947,ELIS R. DUNCAN
MEERA,1979,S.S. GULZAR
MEERABAI,1947,NANABHAI BHATT
MEERABAI - TO BE CHECKED,1960,G. BANDYOPADHYAY
MEGH,1961,UTPAL DUTT
MEHARBAN,1967,A. BHIMSINGH
MEHNDI RANG LAGYO,1960,MANHAR RASKAPUR
MEHRBAN,1977,A. BHIMSINGH
MEMDIDI,1961,HRISHIKESH MUKHERJEE
MEN OF INDIA,1942,EZRA MIR
MERA LADKA,1938,K. NARAYAN KALE
MERA NAAM JOKAR,1970,RAJ KAPOOR
MERE ARMAN MERE SAPNE,1963,ARAVIND SEN
MERE JEEVAN SATHI,1972,RAVI NAGAICH
MERE LAL,1966,SATYEN BOSE
MERE MEHBOOB,1963,H.S. RAWAIL
MILAN,1946,NITIN BOSE
MILAN,1968,A. SUBBA RAO
MILI,1975,HRISHIKESH MUKHERJEE
MIMANGSHA - TO BE CHECKED,1953,SANJAY
MINORITIES IN INDIA,1997,HASSAN KUTTY
MIRCH MASALA / SPICES,1985,KETAN MEHTA
MIRZA GHALIB,1954,SOHRAB MODI
MIRZA SAHIBAN,1947,K. AMARNATH
MISS INDIA,1957,I.S. JOHAR
MISS LEELAVATHI,1965,M.R. VITTAL
MISS MALA,1954,JAYANT DESAI
MISS MARY,1957,L.V. PRASAD
MOHAN JOSHI HAJIR HO,1984,SAEED MIRZA
MOHINI,1948,LANKA SATHYAM
MOHINIATTAM,1976,SREEKUMARAN THAMPY
MOHITYANCHI MANJULA,1963,BHALJI PENDHARKAR
MOKSHA,1993,PANKAJ BHATIA
MONER MAYUR,1954,SUSHIL MAJUMDAR
MONIHARA (TEEN KANYA),1961,SATYAJIT RAY
MONPAS OF ARUNACHAL PRADESH,2001,ARIBAM SYAM SHARMA
MOOGANOMU,1969,YOGANAND
MOONDRAM PIRAI,1982,BALU MAHENDRA
MOORU DARIGALU,1981,GIRISH KASARAVALLI
MOTHER INDIA,1938,DADA GUNJAL
MOTHER INDIA,1957,MEHBOOB
MOTHI MANSE,1949,V. KULKARNI/V.CHAVAN
MOUNA RAGAM,1986,MANI RATHNAM
MOUNI,2003,B.S. LINGADEVARU
MOYNA TADANTA,1980,UTPALENDU CHAKRABORTY
MR. & MRS. IYER,2002,APARNA SEN
MR. SAMPAT,1952,S.S. VASAN
MRIG TRISHNA,1975,R.N. SHUKLA
MRIGAYA,1976,MRINAL SEN
MUDIALY EKTI BIKALPA PANTHA,1992,SAMIRAN DUTTA
MUDIYANAYA PUTHRAN,1961,RAMU KARIAT
MUGHAL-E-AZAM,1960,K. ASIF
MUJH SE DOSTI KAROGE,1992,GOPI DESAI
MUKHA MUKHAM,1984,ADOOR GOPALAKRISHNAN
MUKKAM POST DHEBEWADI,1969,MADHUKAR PATHAK
MUKTA,1994,JABBAR PATEL
MUKTI,1937,P.C. BARUA
MUKTI,1970,N. LAKSHMINARAYAN
MUMBAICHA JAVAI,1970,RAJA THAKUR
MUNNA,1954,K.A. ABBAS
MUNNABHAI M.B.B.S.,2003,RAJKUMAR HIRANI
MUNNUDI,2000,P. SHESHADRI
MUQABALA,1942,NANABHAI BHATT / B.MISTRI
MUQADDAR KA SIKANDAR,1978,PRAKASH MEHRA
MURAD,1961,NARI GHADIYALI
MURAPPENNU,1965,A. VINCENT
MURUGAN - GOD OF HILLS,1999,K. NARAYANAN
MUSAFIR,1957,HRISHIKESH MUKHERJEE
MUTHAL MARIYATHAI,1985,BHARATHIRAJAA
MUTHYALA MUGGU,1975,BAPU
MY SISTER,1944,HEMCHANDRA CHUNDER
MYSORE MALLIGE,1991,T.S. NAGABHUSHANA
NAA,1954,SRI TARA SHANKAR
NAAN PETRA SELVAM,1956,K. SOMU
NABAKA-LEBAR,1997,K.G. DAS
NADA MANNE NADA KOOLU,1971,S.R. RAJAN
NAGA MANDALA,1996,T.S. NAGABHARANA
NAGAN,1934,JYOTISH BANNERJEE
NAGARIK,1952,RITWIK GHATAK
NAGARJUNA,1961,Y.V. RAO
NAGINA,1951,RAVINDRA DAVE
NAGMATI,1983,GAUTAM CHATTOPADHYAY
NAGNA SATYAM,1979,U. VISHWESHWARA RAO
NAGULA CHAVITI,1956,CH. NARAYANAMURTHY
NAGUVA HOOVU,1970,R.N. KRISHNAPRASAD
NAIR PIDICHA PULIVALU,1958,P. BHASKARAN
NALLATHAMBI,1949,KRISHNAN & PANJU
NAMAK KI KANKARI,NA,IRSHAD PANJATAN
NAMMINABANTU,1960,A. SUBBA RAO
NAMOONA,1949,HIRA SINGH
NANAK NAAM JAHAZ HAI,1969,RAM MAHESHWARI
NANBA NANBA / FRIEND… DEAR FRIEND,2002,JAYA BHARATHY
NANDAN,1998,A.K. BIR
NANDANAR,1942,MURUGADASA
NANHE MUNNE,1952,DATTA DHARMADHIKARI
NANI GOPALER BIYE,1973,SUDHIR MUKHERJEE
NANUM ORU PENN,1962,A.C. TRILOGCHANDER
NARA NARAYAN,1939,JYOTISH BANNERJEE
NARAYAN GANGARAM SURVE,2002,ARUN KHOPKAR
NARTANASALA,1963,K. KAMESHWARA RAO
NASEEM,1995,SAEED AKHTAR MIRZA
NASTIK,1954,I.S. JOHAR
NATUN PATA,1969,DINEN GUPTA
NAU DO GYARAH,1957,VIJAY ANAND
NAUKAR,1943,SHAUKAT HUSSAIN RIZVI
NAUKARI,1954,BIMAL ROY
NAULAKHA HAAR,1953,B. SHUKLA & H.BHATT
NAVALKOLAM,1951,V. KRISHNAN
NAVARATHRI,1964,A.P. NAGARAJAN
NAVE BIRHAD,1953,RAM GABALE
NAVEENA VIKRAMADITHAN,1940,K.S. MANI
NAVJEEVAN,1939,FRANZ OSTEN
NAVRANG,1959,V. SHANTARAM
"NAXALITES, THE",1980,K.A. ABBAS
NAYA GHAR,1953,D.D. KASHYAP
NAYA RASTA,1953,JAYANT DESAI
NAYA ZAMANA,1981,PRAMOD CHAKRABORTY
NAYAK,1966,SATYAJIT RAY
NAYAKAN,1987,MANI RATHNAM
NAYEE PADOSAN,2003,B.H. TARUN KUMAR
NAZAR,1989,MANI KAUL
NAZRANA,1961,C.V. SRIDHAR
NEECHA NAGAR,1946,CHETAN ANAND
NEEL KAMAL,1947,KEDAR SHARMA
NEELAKUYIL,1954,P. BHASKARAN & RAMU KARIAT
NEEM ANNAPURNA,1979,BUDHADEV DASGUPTA
NEER KUMIZHI,1965,K. BALCHANDER
NEERAB JHADA,1984,MANMOHAN MAHAPATRA
NEITHUKARAN,2001,PRIYANANDAN
NEK PERVEEN,1946,S.M. YUSUF
NEKI AUR BADI,1949,KIDAR SHARMA
NENJATHAI KILLATHEY,1981,J. MAHENDRAN
NENJIL ORE ALAYAM,1962,C.V. SRIDHAR
NETAJI SUBHASH CHANDRA BOSE,NA,NA
NEW DELHI,1956,MOHAN SEHGAL
NEW DELHI TIMES,1985,RAMESH SHARMA
NEW LIFE OF DISPLACED PERSON,1957,PAUL ZILS
"NEWS MAGAZINE 363 - ""SWATANTRATA DIWAS - 1998""",1998,PRADEEP B. RAO
"NEWS MAGAZINE 435 - ""PATJHAR""",2000,GIRISH VAIDYA
"NEWS MAGAZINE 451 - ""MANIPUR""",2001,GIRISH VAIDYA
"NEWS MAGAZINE NO. 424 - ""VERMI CULTURE""",2000,A.R. SHARIEF
NEWS MAGAZINE NO. 427 : A WISH COME TRUE,2000,S. PATHAK & S. AMBERKAR
NIKAAH,1982,B.R. CHOPRA
NILAKAALAM,2000,A.R. GANDHIKRISHNA
NIMANTRAN,1971,TARUN MAJUMDAR
NINAMANINNYA KALAPADAKAL,1963,N.N. PISHAREDDY
NINE MONTHS TO FREEDOM,1972,S. SUKHDEV
NIRJAN SAIKATEY,1963,TAPAN SINHA
NIRMALA,1938,FRANZ OSTEN
"NIRMALAYAM / BLESSED OFFERING, THE",1973,M.T. VASUDEVAN NAIR
NIRUPAMA ANI PARIRANI,1961,VINAY KALE
NISHAN,1949,S.S. VASAN
NISHANT,1975,SHYAM BENEGAL
NISHKRITI,1953,PASHUPATI CHATTERJEE
NIZHAL NIJAMAKIRATHU,1978,K. BALCHANDER
NIZHALGAL,1980,BHARATHIRAJAA
NIZHALKUTHU,2002,ADOOR GOPALAKRISHNAN
NOKKETHA DHOORATHU KANNUM NATTU,1984,FAZIL
NYAY-ANYAY,1990,LAWRENEE D'SOUZA
O AMAR DESHER MATI,1958,PATHIKRIT
ODEYIL NINNU,1965,K.S. SETHUMADHAVAN
OKA OORIE KATHA,1977,MRINAL SEN
OLANGTHAGEE WANGMADASOO,1979,ARIBAM SYAM SHARMA
OLAVUM THERAVUM,1970,P.N. MENON
OM DARBDAR,1988,KAMAL SWAROOP
OM JAI JAGDISH,2002,ANUPAM KHER
ONDANONDU KALADALLI / ONCE UPON A TIME,1978,GIRISH KARNAD
ONE DAY,1965,PICHEL WYNN
OON PAOOS,1954,RAJA PARANJPE
OPAJA SONAR MATI,1972,BROJEN BARUA
OPPOL,1980,K.S. SETHUMADHAVAN
ORA THAKEY ODHARE,1954,SUKUMAR DASGUPTA
ORE IRAVU,1951,P. NEELAKANTHAN
ORIDATHORU PHAYALWAN,1981,P. PADMARAJAN
ORU CHERU PUNCHIRI,2000,M.T. VASUDEVAN NAIR
ORU INDHIYA KANAVU,1983,KOMAL SWAMINATHAN
ORU KANN ORU PAARVI / THRO' AN EYE DARKLY,1998,GNANA RAJASEKARAN
ORU NADIGAI NADAGAM PARIKIRAL,1978,A. BHIMSINGH
ORU PENNINDE KATHA,1971,K.S. SETHUMADHAVAN
ORU VADAKKAN VEERAGATHA,1989,T. HARIHARAN
"OUT CAST, THE",1943,MADHU BOSE
"OUT HOUSE, THE",1998,LESLIE CARVALHO
OVAL CROPS,1983,MOHI-UD-DIN-MIRZA
OVALANI,1954,ANANT MANE
PAAP-O-PAAPI,1956,BIJON SEN
PAAR,1984,GAUTAM GHOSH
PAAR MAGALE PAAR,1963,A. BHIMSINGH
PACHAI VILAKKU,1964,A. BHIMSINGH
PADAKOTTAI,1964,T. PRAKASH RAO
PADATHA PAINGILI,1957,P. SUBRAMANIAM
PADATIK,1973,MRINAL SEN
PADDY HIGH YIELDING VARIETIES,1966,KRISHNA KAPIL
PADITHAL MATTU POTHUMA,1962,A. BHIMSINGH
PADUKA PATTABHISHEKHAM,1936,MURUGADASAN / K. RAMNOTH
PADUNNA PUZHA,1968,M. KRISHNAN NAIR
PADUVARAHALLI PANDAVARU,1978,PUTTANA KANAGAL
PAGAL THAKUR,1966,HIRANMOY SEN
PAGE BY PAGE,1943,KRISHNA GOPAL
PAIGHAM,1959,S.S. VASAN
PAISA,1957,PRITHVIRAJ KAPOOR
PAISO BOLE CHHE,1977,RAVINDRA DAVE
PAKEEZAH,1971,KAMAL AMROHI
PALANKA,1975,RAJAN TARAFDAR
PALAY KHAN,1986,ASHIM SAMANTA
PALLAVI,1976,P. LANKESH
PALLE PADACHU,1974,K. SATYAM
PALLUM PAZHAMUM,1961,A. BHIMSINGH
PANAM PADAITHAVAN,1965,RAMANNA
PANCH PUTALIYAN / FIVE PUPPETS,1963,AMIL BOSE
PANCHAGNI,1986,T. HARIHARAN
PANCHARATHNA,1956,K. VEMBU
PANCHVATI,1986,BASU BHATTACHARYA
PANDANTI KAPURAM,1972,P. LAKSHMI DEEPAK
PANDAVAAS,2000,USHA GANESHRAJAH & VENKATESH BABU G.
PANDIT MOSHAI,1951,NARESH MITRA
PANDURANG MAHAATHYAM,1957,K. KAMESHWARA RAO
PANI TEERATHA VEEDU,1972,K.S. SETHUMADHAVAN
PANIMUDAKKU,1972,P.N. MENON
PANOI-JONGKI,2001,"MIGANG DILIP DOLEY, NARAYAN SEAL"
PAPA MAA PRANAM,1989,V. MADHUSUDANA RAO
PAPER WAR,1943,A.P. SINHA
PAPORI,1986,JAHNU BARUA
PARAKH,1960,BIMAL ROY
PARAKH,1944,SOHRAB MODI
PARAMANANDAYYA SISHYULU KATHA,1966,C. PULLAIAH
PARAMPARA,1992,YASH CHOPRA
PARAMPARA,1990,SIBI MALAYIL
PARASAKTHI,1952,KRISHNAN & PANJU
PARASHURAM,1980,MRINAL SEN
PARASHURAMER KUTHAR,1989,NABYENDU CHATTERJEE
PARDA,1949,A.G. SOORMA
PARDES,1950,M. SADIQ
PARIJATAK,1951,RAJA PARANJPE
PARINAY,1974,KANTILAL RATHOD
PARINDA,1989,VIDHU VINOD CHOPRA
PARINDE,1945,P.K. ATRE
PARINEETA,1953,BIMAL ROY
PARIVAR,1956,ASIT SEN
PAROMA,1985,APARNA SEN
PAROMA,1985,APARNA SEN
PAROMITAAR EK DIN / HOUSE OF MEMORIES,1999,APARNA SEN
PAROPKARAM,1953,KAMAL GHOSH
PARTHAL PASI THEERUM,1962,A. BHIMSINGH
PARTHIBAN KANAVU,1960,D. YOGANAND
PARTY,1984,GOVIND NIHALANI
PARVARISH,1958,S. BANNERJEE
PARWANA,1947,J.K. NANDA
PASAMALAR,1961,A. BHIMSINGH
PATANG,1994,GOUTAM GHOSE
PATANGA,1949,H.S. RAWAIL
PATHER PANCHALI / SONG OF THE LITTLE ROAD,1955,SATYAJIT RAY
PATHIK / LATE SHRI. KAKASAHEB GADGIL,1988,JABBAR PATEL
PATHLAAG,1964,RAJA PARANJPE
PATI BHAKTI,1968,A. BHIMSINGH
PATI PATNI AUR WOH,1978,B.R. CHOPRA
PATITA,1980,PRAMOD CHAKRABORTY
PATLA TAR VHAY MNANA,1973,PRABHAKAR NAYAK
PATRANI,1956,VIJAY BHATT
PATTIKADA PATTANAMA,1972,P. MADHAVAN
PAVAI VILAKKHU,1960,K. SOMU
PAVALAKKODI,1949,K. SUBRAMANYAM
PAVITRA PAPI,1970,RAJENDRA BHATIA
PAYING GUEST,1957,SUBODH MUKHERJEE
PEDGAONCHE SHAHANE,1952,RAJA PARANJPE
PEHLI JHALAK,1954,M.V. RAMAN
PEHLI NAZAR,1945,MAZHAR KHAN
PELLINATI PRAMANULU,1958,K.V. REDDY
PENN,1953,M.V. RAMAN
PENNE NEE VAZHGAI,1967,P. MADHAVAN
PERCY,1989,PARVEZ MERVANJI
PERUVAZHIYAMBALAM,1979,PADMARAJAN
PESTONJEE,1988,VIJAYA MEHTA
PHAGUN,1958,BIBHUTI MITRA
PHAGUN,1973,RAJENDRA SINGH BEDI
PHANDE BAAZ,1978,SAMIR GANGULY
PHANIYAMMA,1982,PREMA KARANTH
PHATIKCHAND,1983,SANDIP RAY
PHERA,1986,BUDHADEV DASGUPTA
PHIR BHI,1971,SHIVENDRA SINHA
PHIR BHI DIL HAIN HINDUSTANI,2000,AZIZ MIRZA
PHIR WOHI DIL LAYA HOON,1963,NASIR HUSSAIN
PHOOL,1944,K. ASIF
PHOOL AUR KALIYAN,1960,RAM GABALE
PHOOL AUR KANTE,1991,KUKU KOHLI
PHOOLON KE HAAR,1951,G.P. PAWAR
PICK POCKET,1962,RAJESH NANDA
PIKOO,1980,SATYAJIT RAY
PINJAR,2003,DR. CHANDRAPRAKASH DWIVEDI
PINJRA,1972,V. SHANTARAM
"PINK CAMEL, THE",2002,GANGULY
PIRAVI,1988,SHAJI N. KARUN
PITAH,2002,MAHESH MANJREKAR
PITCHI PULLAIAHA,1953,T. PRAKASA RAO
PITRU CHAYYA,1991,SAUDAMINI
POCKET MAAR,1956,H.S. RAWAIL
POKHI,1999,JAHNU BARUA
POKKUVEYIL,1981,G. ARAVINDAN
POLICE KARAN MAGAL,1962,C.V. SRIDHAR
PONDS CULTURE,1960,N.K. ISSAR
PONGA PANDIT,1975,PRAYAG RAJ
PONKATHIR,1953,E.R. COOPER
PONNI,1953,A.S.A. SAMI / C.S. RAO
PONNU VILAYUM BHOOMI,1959,A. BHIMSINGH
PONTHAN MAADA,1994,T.V. CHANDRAN
POOJA KE PHOOL,1964,A. BHIMSINGH
POOJAKKEDUKATHA POOKKAL,1977,N. SHANKARAN NAIR
POOVA THALAIYA,1969,K. BALACHANDER
PORTRAIT OF A CITY,1961,CHIDANAND DAS GUPTA
PORTRAIT OF A POSTMAN,1961,GOVIND SARAIYYA
POSTMASTER (TEEN KANYA),1961,SATYAJIT RAY
POWER TO THE PEOPLE,1972,SHYAM BENEGAL
PRADESI RE,2002,KEWAL KRISHNA
PRAHLADA,1939,BALKRISHNA NARAYAN RAO
PRALHAD,1952,PHANI BURMA
PRASHNA,1955,CHANDRASHEKHAR BOSE
PRATIBHA,1937,BABURAO PAINTER
PRATIDWANDI,1970,SATYAJIT RAY
PRATIKAR,1944,CHHABI BISWAS
PRAVAAHA,2003,P.R. RAMDASS NAIDU
PRAYANAM,1975,B.G. BHARATHAN
"PREM KAHANI (EXCEPT R.NO. 6,8 & 10)",1937,FRANZ OSTEN
PREM PATRA,1962,BIMAL ROY
PREM ROG,1982,RAJ KAPOOR
PREMNAGAR,1940,M. BHAVNANI
PRINCE,1969,LEKH TONDON
PRISONERS OF CONSCIENCE,1978,ANAND PATWARDHAN
PRITHVIRAJAN,1942,B. SAMPATHKUMAR
PRIYA,1970,MADHU
PROFESSOR,1962,LEKH TANDON
PROHOR / IN COURSE OF TIME,2002,SUBHADRO CHOUDHURY
PROVASH MILAN,1937,PHANI BARMA
PUDHCHA PAOOL,1986,RAJ DUTT
PUDHIYA PATHAI,1989,R. PARTHIBAN
PUKAAR,2000,RAJKUMAR SANTOSHI
PUNAR MILAN,1959,RAVINDRA DAVE
PUNARJANMAM,1972,K.S. SETHUMADHAVAN
PUNARJANMAM,1961,C.V. SRIDHAR
PUNASCHA PARBA,1983,SIDDHARTH DUTT
PUNAVECHI RAAT,1955,ANANT MANE
PUNNAGAI,1971,K. BALCHANDER
PUNNAPRA VYALAR,1968,KUNCHAKO
PURNIMA,1965,NARENDRA SURI
PURUSHARTHAM,1987,K.R. MOHANAN
PUSHPAK VIMANA / PUSHPAK,1987,SINGEETHAM SRINIVAS RAO
PUTALAGHAR,1975,SAMARENDRA NARAYAN DEB
PUTHIYA AKSHAM PUTHIYA BHOOMI,1962,M.S. MANI
PUTHIYA VARPUGAL,1979,BHARATHIRAJAA
PUTRAVATI,1996,BHASKAR JADHAV
PYAAS / APNA GHAR APNI KAHANI,1968,PHANI MAJUMDAR
PYAR KE DO PAL,1986,RAJIV MEHRA
PYAR KIYA TO DARANA KYA,1963,B.S. RANGA
PYASE PANCHHI,1961,HARSUKH BHATT
QAIDI NO. 911,1959,ASPI IRANI
QAYAMAT SE QAYAMAT TAK,1988,MANSOOR KHAN
RAAKH,1988,ADITYA BHATTACHARYA
RAAKHI,1949,SHANTI KUMAR
RAAT AUR DIN,1967,SATYEN BOSE
RABINDRANATH,1953,NA
RABINDRANATH TAGORE,1961,SATYAJIT RAY
RACHANA,1983,MOHAN
RAGINI,1945,SHANKAR MEHTA
RAHGIR,1969,TARUN MAJUMDAR
RAHI,1952,K.A. ABBAS
RAIKAMAL,1955,SUBODH MITRA
RAILWAY PLATFORM,1955,RAMESH SAIGAL
RAJ TILAK,1958,S.S. VASAN
RAJA GOPICHAND,1938,BHALJI PENDHARKAR
RAJA PARVAI,1981,SINGEETHAM SRINIVAS RAO
RAJA RAJESWARI,1944,M.L. TANDON
RAJA RAM MOHAN,1965,BIJOY BASU
RAJALAKSHMI-O-SHRIKANTA,1958,HARIDAS BHATTACHARYA
RAJANIGANDHA,1974,BASU CHATTERJEE
RAJDROHI,1966,NIREN LAHIRI
RAJKUMAR,1964,K. SHANKAR
RAJKUMARI - TO BE CHECKED,1953,T.R. RAGHUNATH
RAJPATH,1956,GUNAMAYA BANNERJEE
RAJPUT RAMANI,1936,K. DHAIBER
RAJU AUR GANGARAM / THE BOY & THE PARROT,1964,OMI BEDI
RAJU AUR GANGARAM / THE BOY & THE PARROT,1972,EZRA MIR
RAKTHA PASAM,1954,R.S.MANI
RAKTHA THILAKAM,1963,DADA MIRASI
RAM BHAKTA HANUMAN,1951,HOMI WADIA
RAM PRASAD,1947,DEBNARAYAN GUPTA
RAM RAJYA,1943,VIJAY BHATT
RAM RAM PAVHANA,1950,DINKAR D. PATIL
RAM TERI GANGA MAILI,1985,RAJ KAPOOR
RAMAN ETHANAI RAMANADI,1970,P. MADHAVAN
RAMAYAN,1954,VIJAY BHATT
RAMAYANA,1934,SUDARSHAN & PRAFULLA ROY
RAMAYANAM,1997,GUNA SEKHAR
RAMBAAN,1948,VIJAY BHATT
RAMBAYIN KADHAL,1939,B.N. RAO
RAMDHAKKA - TO BE CHECKED,1979 ?,CHITRASATHI ?
RAMRAJYA,1943,VIJAY BHATT
RAMSHASTRI,1944,GAJANAN JAGIRDAR
RAMU,1966,A.C. TRILOGCHANDER
RAMU,1966,A.C. TRILOGCHANDER
RANDIDANGAZHI,1958,P. SUBRAMANYAM
RANGA POLICE,1958,NIP BARUA
RANGALYA RATRI ASHYA,1962,RAJA THAKUR
RANGEELA,1995,RAM GOPAL VARMA
RANGULA RATNAM,1966,B.N. REDDY
RAPE IN THE VIRGIN FOREST / HAGRANAYAOJI,1995,JWNGDAO BODOSA
RASAYATRA (THE TRAVELLING SONG),1996,NANDAN KUDHYADI
RASIKAPRIYA,2000,ARUN KHOPKAR
RATNAGIRI RAHASYA,1957,B.R. PANTHALU
