Title,Year,Directors
BAGHA JATIN,1958,HIRONMOY SEN
BAGHBAN,1938,A.R. KARDAR
BAGHDAD GAJA DONGA,1968,YOGANAND
BAGHI,1953,ANANT THAKUR
BAHADUR DAKU,1965,JUGAL KISHORE
BAHAR,1951,M.V. RAMAN
BAHARON KE SAPANE,1967,NASIR HUSSAIN
BAHIRJI NAIK,1943,BHALJI PENDHARKAR
BAHUT DIN HUWE,1954,S.S. VASAN
BAI,1985,SUMITRA BHAVE
BAIJU BAWARA,1952,VIJAY BHATT
BAIKO MAHERI JATE,1963,RAJA PARANJPE
BAKSHA BADAL,1965,NITYANANDA DUTTA
BALA,1976,SATYAJIT RAY
BALAM,1949,HOMI WADIA
BALANAGAMMA,1959,VEDANTAM RAGHAVAIAH
BALARAJU,1948,G. BALARAMAIAH
BALIKA BODHU,1967,TARUN MAJUMDAR
BAMBAI KA BABU,1960,RAJ KHOSLA
BAMBAI RAAT KI BAHO MAIN,1967,K.A. ABBAS
BAMBAIWALI,1941,HOMI WADIA
BAMBOO FLUTE / BIRAH BHARAYO GHAR AANGAN KOLE,1999,KUMAR SHAHANI
BANANI,1989,JAHNU BARUA
BANCHARAMER BAGAN,1980,TAPAN SINHA
BANDHAN,1940,N.R. ACHARYA
BANDHI POTU / VEERA KESARI,1963,B. VITHALACHARYA
BANDHU,1958,CHITTA BOSE
BANDIE,1978,ALO SIRCAR
BANDINI,1963,BIMAL ROY
BANDISH,1955,SATYEN BOSE
BANDIT QUEEN,1992,SHEKHAR KAPOOR
BANGA DARSHAN,1931,WILLIAM J. MOYLAN
BANGARDA HOOVU,1967,B.A. ARASUKUMAR
BANGARU PAPA,1956,B.N. REDDY
BANKER MARGAYYA,1983,T.S. NAGABHARANA
BANNADA VESHA,1988,GIRISH KASARAVALLI
BAPU KI ANTIM YATRA,1948,MOTWANE MOTION PICTURES
BARA,1980,M.S. SATHYU
BARIWAALI,1999,RITUPARNA GHOSH
BARSAT,1949,RAJ KAPOOR
BASHEER THE MAN,1987,M.A. RAHIMAN
BATON BATON MEIN,1979,BASU CHATTERJEE
BAWARCHI,1972,HRISHIKESH MUKHERJEE
BAZAAR,1949,K. AMARNATH
BAZAAR,1982,SAGAR SARHADI
BEDAAG,1965,R. BHATTACHARYA
BEES SAAL BAAD,1962,BIREN NAG
BEETE DIN,1947,EZRA MIR
BEHIND THE BREAD-LINE,1974,S. SUKHDEV
BELOVED / SAJANI,1947,B.R. MUDNANEY
BENAZIR,1964,S. KHALIL
BENGAL FAMINE,1943,BIMAL ROY
BENGAL KI PUKAR,1943,BIMAL ROY
BEQASOOR,1950,K. AMARNATH
BETAABI,1997,RAJESH SINGH
BETTADA HOOVU,1985,N. LAKSHMINARAYAN
BETTADA HULI,1965,A.V. SHESHAGIRI RAO
BETTADA KALLA,1957,S.M.S. NAIDU
BEWAFA,1952,M.L. ANAND
BEWAQOOF,1960,I.S. JOHAR
BHABHI,1938,FRANZ OSTEN
BHABHI,1957,KRISHNAN & PANJU
BHADRAKALI,1976,TRILOKCHANDER
BHAGAPIRIVINAI,1959,A. BHIMSINGH
BHAGINI NIVEDITA,1962,BIJOY BASU
BHAGWAN SHRI KRISHNA CHAITANYA / CHAITANYA MAHAPRABHU,1954,DEBAKI BOSE
BHAGWAN SHRI RAMKRISHNA,1955,PRAFULLA CHAKRABORTY
BHAGYA REKHA,1957,B.N. REDDI
BHAGYAVATI,1957,L.V. PRASAD
BHAI BHAI,1956,M.V. RAMAN
BHAIJAN,1945,S. KHALIL
BHAKTA DHRUBA,1949,SATYENDRA NATH DEY & KAZI NAZRUL ISLAM
BHAKTA DHRUVA,1947,SHANTI KUMAR
BHAKTA KANAKADASA,1960,Y.R. SWAMI
BHAKTA KE BHAGWAN,1934,DADA GUNJAL
BHAKTA KUCHELA,1961,P. SUBRAMANYAM
BHAKTA PRAHLAD,1967,CH. NARAYANAMURTHY
BHAKTA SURDAS,1942,CHATURBHUJ DOSHI
BHAKTA SURDAS,1947,SHANTI DAVE
BHAKTA VIJAYA,1956,ARURU PATTABHI
BHALE AMMAYILU,1957,VEDANTAM RAGHAVAIAH
BHARAT BHET,1942,VIJAY BHATT
BHARAT KE SHAHEED,1972,VISHRAM BEDEKAR
BHARAT MILAP,1942,VIJAY BHATT
BHARAT NATYAM,1944,BHASKAR RAO
BHARATHAM,1991,SIBI MALAYIL
BHARATHI,2000,GNANA RAJASEKARAN
BHARGAV NILAYAM,1964,A. VINCENT
BHAROSA,1963,K. SHANKAR
BHARYA BARTULU,1961,K. PRATYAGATMA
BHAUBEEJ,1955,RAJAN KUMAR
BHAVANI BHAVAI,1980,KETAN MEHTA
BHAVANTARANA,1991,KUMAR SHAHANI
BHAVUM / EMOTIONS,2002,SATISH MENON
BHISHMA,1942,JYOTISH BANNERJEE
BHOOKAILAS / GOKARNA MAHABALESHWAR,1940,SUNDERRAO NADKARNI
BHOOKH,1947,SAFDAR AAH
BHOOMI GEETHA,1997,KESARI HARVOO
BHOOTHAKKANNADI,1997,LOHITHADAS
BHOPAL GAS,1986,S. MULAY & TAPAN BOSE
BHRANTI BILAS,1963,MANU SEN
